艦船ID,艦船名,耐久初期,耐久最大,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期下限,対潜初期上限,対潜最大,回避初期下限,回避初期上限,回避最大,索敵初期下限,索敵初期上限,索敵最大,運初期,運最大,射程,装備1,装備2,装備3,装備4,装備5,機数1,機数2,機数3,機数4,機数5,ドロップ説明,図鑑説明
310,Z1改,33,59,11,45,25,70,15,45,15,45,36,36,69,41,41,79,8,8,42,12,49,1,78,-1,-1,-1,-1,0,0,0,0,0,Guten Morgen.<br>僕の名前はレーベレヒト・マース。<br>レーベでいいよ…うん。,ドイツ生まれの駆逐艦、その本格的な大型駆逐艦の一番艦だよ。<br>高温高圧缶や機関部のシフト配置など、技術の国ならではの設計になっているんだ。あまり外洋での艦隊戦は得意じゃないけど…頑張るよ！
311,Z3改,33,59,11,45,25,70,15,45,15,45,36,36,69,41,41,79,8,8,42,12,49,1,78,-1,-1,-1,-1,0,0,0,0,0,Guten Tag.<br>私は駆逐艦マックス・シュルツよ。<br>マックス…でもいいけれど。よろしく。,ドイツ1934年計画型駆逐艦、その三番艦よ。<br>生存性の高い設計の本格的駆逐艦だけれど…新型のタービンは少し整備に難もあるけれど。<br>今度は…大丈夫。
312,浜風改,32,49,12,48,28,79,22,60,14,49,27,27,64,46,46,88,8,8,39,17,59,1,40,28,-1,-1,-1,0,0,0,0,0,駆逐艦、浜風です。<br>これより貴艦隊所属となります。,浜風です。数々の激戦に参加しました。<br>レイテでは金剛を中心とした輪形陣。そして、武蔵や金剛、あの信濃の最期もこの目に焼き付けることになりました。運命の坊ノ岬では、雪風らと共に大和を護って奮闘します。
313,谷風改,32,49,12,48,28,79,16,49,14,49,28,28,68,46,46,88,8,8,39,16,59,1,44,46,-1,-1,-1,0,0,0,0,0,提督、谷風だよ。<br>これからお世話になるね！,谷風さんだよ。<br>あのミッドウェー海戦では、飛龍を助けようとしてたら、くそ敵機から雨あられの集中爆撃…。あんときゃ、まいったけど、勝見艦長がすげえんだ、マジで。
314,酒匂改,46,62,27,64,23,78,19,73,31,69,30,30,84,41,41,80,14,14,59,30,74,2,-1,-1,-1,-1,-1,2,2,2,0,0,ぴゃん♪　阿賀野型軽巡四番艦、酒匂です！<br>司令、よろしくね！,阿賀野型軽巡姉妹の末っ子、四番艦の酒匂だよ。<br>生まれるのが遅すぎたかな、あまりお外にはいけなかった。矢矧ちゃんと一緒に行きたかったけど…舞鶴でお留守番したの。
316,天津風改,34,54,12,49,32,84,23,63,14,61,28,28,59,50,50,94,9,9,39,17,69,1,15,47,87,-1,-1,0,0,0,0,0,いい風きてる？<br>次世代型駆逐艦のプロトタイプ、<br>あたし、天津風の出番ね。,陽炎型駆逐艦九番艦の天津風です。<br>次世代の艦隊型駆逐艦のための新型高温高圧缶のテストベッドを務めたのよ。データはしっかりとって、島風に渡したわ。幾多のピンチも頑張って乗り越えたのよ。大変だったんだから！
317,浦風改,32,49,12,48,28,79,16,49,14,49,29,29,69,46,46,88,8,8,39,13,59,1,91,46,-1,-1,-1,0,0,0,0,0,うち、浦風じゃ、よろしくね！,生まれは大阪、所属は呉。真珠湾からガダルカナルまで駆けまわったんじゃ。<br>最期は金剛姉さんを護衛して台湾海峡…<br>まぁ、もうどうにもならんなぁ……。
318,龍鳳改,48,70,0,32,0,0,28,62,24,57,0,0,0,30,30,62,30,30,74,24,79,1,21,82,51,-1,-1,21,9,9,6,0,潜水母艦改装空母の龍鳳です。<br>航空母艦として、私、頑張ります！,潜水母艦改装空母の龍鳳です。<br>機関の換装の影響で速度は計画通りには出なかったけれど、このクラスの軽空母としては充実の飛行甲板と兵装なんです。<br>空母龍鳳、精一杯頑張ります！
319,妙高改二,56,71,50,80,36,88,28,80,47,78,0,0,0,47,47,85,19,19,59,32,79,2,90,90,28,-1,-1,2,2,4,4,0,私、妙高型重巡洋艦、妙高と申します。<br>共に頑張りましょう。,ワシントン海軍軍縮条約下で建造された重巡洋艦です。<br>平賀譲氏設計による日本海軍の第一級の戦闘艦です。<br>現代の海上自衛隊のイージス艦にも、その名は受け継がれています。
320,磯風改,33,49,12,48,28,79,24,64,14,49,27,27,64,47,47,88,9,9,39,18,59,1,91,44,106,-1,-1,0,0,0,0,0,陽炎型駆逐艦十二番艦、磯風。<br>司令、共に進もう…心配はいらない。,陽炎型駆逐艦十二番艦、磯風だ。<br>戦歴ならあの雪風にも遅れはとらぬ。数々の海戦、決戦に参加し、戦い抜いたんだ。大和・武蔵・金剛・大鳳…彼女達の最期もこの目に焼き付いている。今度こそ…護り抜くさ。
321,大淀改,47,64,32,63,0,49,22,74,32,68,0,0,39,40,40,78,28,28,84,30,79,2,65,107,106,-1,-1,0,6,6,0,0,提督、旗艦大淀、お供いたします。<br>前線艦隊指揮はどうぞお任せください！,艦隊旗艦として特化設計された新鋭軽巡洋艦、大淀です。搭載予定の新型水偵の失敗や戦局の変化もあって、連合艦隊旗艦としてはあまり活躍できなかったの。でも、北号作戦や礼号作戦では活躍したのよ。私も前線で、頑張りますね。
322,時津風改,32,49,12,48,28,79,16,49,14,49,26,26,64,46,46,88,8,8,39,12,59,1,15,91,-1,-1,-1,0,0,0,0,0,陽炎型駆逐艦十番艦。<br>時津風……出るよ。,陽炎型十番艦の時津風だよ。<br>雪風、初風、天津風とで第十六駆逐隊を編成、仲良く色々と頑張ったんだよ。二水戦にもいたんだよ、ほんとほんと。でも、制海権の無い海は…ちょっと嫌かなーって。
323,春雨改,30,49,12,49,28,79,15,49,14,49,24,24,59,45,45,89,7,7,39,12,59,1,63,75,-1,-1,-1,0,0,0,0,0,白露型駆逐艦五番艦の春雨です、はい。<br>輸送作戦はお任せください……です。,白露型駆逐艦五番艦の春雨です。<br>おいしそう…ってその春雨とは違います！村雨や夕立姉さんたちと共に第二駆逐隊として海を駆け巡りました！輸送や護衛任務は、少し得意なんです。はい！
324,早霜改,32,49,12,50,28,80,16,50,14,49,29,29,67,48,48,90,9,9,42,12,59,1,28,44,27,-1,-1,0,0,0,0,0,また…来てしまったのね、この海に。<br>夕雲型駆逐艦、早霜…着任しました。,夕雲型駆逐艦、その十七番目、早霜です。<br>舞鶴海軍工廠生まれ。だいぶ押し迫った頃に生まれました。レイテ沖海戦にリンガ泊地から出撃して…色々な光景を見ました。
325,清霜改,32,49,12,50,28,80,16,50,14,49,29,29,67,48,48,90,9,9,42,13,59,1,28,47,27,-1,-1,0,0,0,0,0,どうも！夕雲型の最終艦、清霜です。<br>到着遅れました、よろしくお願いです！,夕雲型駆逐艦のラスト、十九番艦の清霜です。<br>浦賀生まれですよ。もう、そうとう辛い戦局の中で生まれたの。短い間だったけど、縦横無尽に活躍したわ。凄惨だったレイテはもちろん、あの礼号作戦にも参加したのよ！どう？
326,初春改二,31,52,13,52,32,88,23,73,14,51,30,30,69,48,48,90,10,10,45,16,59,1,63,106,40,-1,-1,0,0,0,0,0,わらわが初春じゃ。<br>よろしく頼みますぞ。,初春型駆逐艦、１番艦の初春じゃ。<br>わらわは、北方部隊に所属。戦雲渦巻くアッツやキスカなどの北方海域で活躍したぞ。<br>北海道周辺も好きな海域じゃな。マニラ湾やオルモック…？ああ、熱いところは苦手じゃ。
327,朝雲改,31,49,12,49,28,79,16,49,14,49,24,24,59,46,46,89,8,8,39,12,59,1,91,44,-1,-1,-1,0,0,0,0,0,朝潮型駆逐艦、朝雲、着任したわ！<br>貴方が司令…かあ。ふうーん。ま、いいわ。私がやったげる！,朝潮型駆逐艦五番艦、朝雲よ。<br>盟友の山雲と一緒に、様々な戦場を駆け抜けたのよ。そう、第九駆逐隊。有名でしょ？え、知らないって？私、冗談ってあまり好きじゃないの。覚えておいてよ！
328,山雲改,31,49,12,49,28,79,16,49,14,48,27,27,64,46,46,89,8,8,39,11,58,1,91,44,-1,-1,-1,0,0,0,0,0,おはようございます～。<br>朝潮型駆逐艦六番艦、山雲、入ります～。,朝潮型駆逐艦六番艦の山雲です～。<br>大阪生まれの横須賀育ちなの～。そうね、機雷とかは注意しないといけないわね～。<br>護衛や哨戒で活躍、そしてマリアナ、西村艦隊の一員としてレイテにも参加したわ～。
329,野分改,32,49,12,48,28,79,16,49,14,49,28,28,68,46,46,88,8,8,39,13,59,1,91,46,-1,-1,-1,0,0,0,0,0,陽炎型駆逐艦、野分。参上しました。<br>さあ、司令。いきましょう。,陽炎型駆逐艦十五番艦、野分です。舞鶴生まれです。舞風と一緒に第四駆逐隊に所属しました。<br>緒戦は那珂さん率いる四水戦と共に南方作戦、そしてミッドウェー、マリアナ、レイテにも参加。できること…全力で頑張りました。
330,秋月改,37,57,24,57,24,54,80,116,16,53,30,30,72,48,48,88,10,10,49,12,69,1,122,106,40,-1,-1,0,0,0,0,0,秋月型防空駆逐艦、一番艦、秋月。<br>ここに推参致しました。お任せください！,艦隊防空のために建造された乙型一等駆逐艦、秋月型駆逐艦一番艦、秋月です。<br>４基８門の長10cm砲と高射装置を備えた防空艦として、僚艦の初月らと共に第61駆逐隊を編成しました。頑張ります！
331,天城,48,79,0,25,0,0,27,72,26,51,0,0,0,33,33,59,38,38,74,13,59,1,40,10,-1,-1,-1,18,24,3,6,0,雲龍型航空母艦、天城と申します。<br>提督、どうぞよろしくお願い致します。<br>天城、精進致します！,雲龍型航空母艦、その二番艦、天城です。戦時急造計画であるマル急計画により、建造されました。<br>空母機動部隊として運用されることは叶いませんでしたが、呉空襲時の対空戦で奮闘しました。
332,葛城,48,79,0,25,0,0,27,72,27,52,0,0,0,34,34,59,36,36,70,20,69,1,39,40,-1,-1,-1,18,24,3,6,0,雲龍型航空母艦、三番艦、葛城よ！<br>え？　水上防空砲台ですって？<br>ち、違うわよ！　提督、何いってんの！,雲龍型航空母艦の三番艦、葛城よ。そう、正規空母。<br>ちょっと生まれるのが遅かったみたい。でも、戦いが終わった後で、私は全力で働いたの。ある意味、私が一番なんだから。ホントよ？ホントなんだから。
334,U-511改,13,18,3,12,27,64,0,0,6,20,0,0,0,20,20,59,9,9,29,34,67,1,-1,-1,-1,-1,-1,0,0,0,0,0,ドイツ海軍所属、潜水艦U-511です。<br>ユーとお呼びください。<br>少し遠出してきました。よろしくお願い致します……。,ドイツ海軍のUボート、潜水艦U-511……です。<br>頑張って、ここまで来ました。<br>皆と仲良くなれたら…いいなって…ここの文化に馴染めたらいいなって…思います。
343,香取改,40,54,16,36,14,40,24,48,15,39,22,22,62,26,26,52,12,12,48,12,54,2,119,40,46,44,-1,2,2,2,2,0,練習巡洋艦、香取です。<br>心配しないで…。色々と優しく、指導させて頂きますから。,香取型練習巡洋艦一番艦の香取です。<br>はい、練習遠洋航海の指揮は、お任せください。必ずや艦隊の練度向上にお力添えできると思います。え、戦艦との砲撃戦…ですか？それは用兵的にどうなのでしょうか。
344,朝霜改,33,49,12,47,28,78,22,62,14,49,35,35,79,49,49,92,10,10,43,18,68,1,91,47,40,-1,-1,0,0,0,0,0,よお！　夕雲型駆逐艦、十六番艦の朝霜、いつでも出撃できんぜ。<br>まだまだ、暴れよう…な、司令！,あたいは夕雲型駆逐艦、その十六番艦、朝霜さ。よーく覚えとおくんだよ。<br>戦況が悪化した頃にデビューしたんだ。でも、その末期の戦線を、文字通り縦横無尽に駆けまわったぜ。やるだけ…やったさ！
345,高波改,32,49,12,50,28,80,16,50,14,49,29,29,67,48,48,90,13,13,52,10,57,1,129,28,27,-1,-1,0,0,0,0,0,夕雲型駆逐艦、六番艦の高波です。<br>あ、あの…頑張ります！ホントかもです！,夕雲型駆逐艦６番艦、高波です。浦賀生まれです。<br>第三十一駆逐隊に編入され、活躍したかもです。運命のルンガ沖夜戦でも警戒隊の旗艦として敵を発見…、艦隊の勝利に貢献したかも…です。はい！
346,照月改,37,57,24,58,25,56,80,114,16,52,30,30,72,48,48,87,10,10,49,11,59,1,122,106,40,-1,-1,0,0,0,0,0,秋月型防空駆逐艦、二番艦の照月よ。<br>戦艦の護衛でも、鼠輸送でも、なんでもこなしちゃうんだから！,秋月型防空駆逐艦二番艦、照月よ。<br>秋月姉と第61駆逐隊を編成しました。ソロモンの激戦では、比叡さんや霧島さんと共に戦ったのよ！え？ドラム缶による鼠輸送？ああ、あれは…あれはね…。
347,Libeccio改,29,46,11,48,27,72,20,59,15,50,40,40,80,50,50,92,10,10,46,16,69,1,147,147,-1,-1,-1,0,0,0,0,0,ブォンジョールノ！<br>マエストラーレ級駆逐艦、リベッチオです。<br>リベでいいよ。提督さん、よろしくね！,イタリア海軍の駆逐艦、マエストラーレ級三番艦、リベッチオです。提督さん、よろしくね！<br>え、タラント空襲？余裕です！船団護衛でも頑張りたかったけど…救助中はやめてほしいよ～！
348,瑞穂改,42,62,18,45,15,72,18,44,24,48,0,0,0,24,24,42,38,38,94,10,54,1,59,41,39,-1,-1,12,12,8,0,0,提督、お疲れさまです。<br>水上機母艦、瑞穂、推参致しました。<br>どうぞよろしくお願い申し上げます。,水上機母艦、瑞穂です。千歳、千代田に続いて建造された、甲標的も運用可能な特殊水上機母艦です。新機軸の機関部があまり上手くいかなくって……でも、開戦初頭の南方作戦などに参加致しました。お役に立てるよう頑張りますね！
349,風雲改,32,49,12,50,29,81,17,51,14,49,30,30,69,48,48,90,9,9,42,14,69,1,129,28,27,-1,-1,0,0,0,0,0,夕雲型駆逐艦、三番艦の風雲よ。<br>そっか、貴方が提督なんだ。了解です。<br>ご命令、どうぞ！,艦隊型駆逐艦、夕雲型駆逐艦の三番艦、風雲よ、よろしく。<br>あのミッドウェーからソロモンまで、主戦場を駆けたのよ。運命の日の夜、燃える空母を見上げたの。龍の最期、忘れない。
350,海風改,30,48,12,49,28,79,16,50,14,49,27,27,63,46,46,89,8,8,40,13,64,1,63,44,-1,-1,-1,0,0,0,0,0,白露型駆逐艦七番艦、<br>そして改白露型一番艦となる、海風です。<br>提督、どうぞよろしくお願いします！,白露型駆逐艦七番艦、改白露型としては一番艦となる海風です。<br>マル２計画によって建造されました。第二水雷戦隊の一翼として、ソロモン海の戦いにも参加しました。提督、どうぞよろしくお願い致します。
351,江風改,30,48,12,49,29,80,15,49,14,49,24,24,59,46,46,89,8,8,40,12,59,1,63,28,-1,-1,-1,0,0,0,0,0,白露型駆逐艦九番艦、<br>改白露型の江風だよ。よろしくな！<br>あ、読み方、間違えンなよ。,白露型九番艦、改白露型駆逐艦の江風だ。<br>そうさ、海風の姉貴たちと同じ、マル２計画で建造されたよ。まー、働いた働いた。ソロモン海は何度も駆け回ったよ。最期は夜戦さ。敵さんの電探…ありゃー反則さ。
352,速吸改,48,50,8,36,0,0,20,48,6,19,12,12,36,10,10,33,18,18,59,8,44,1,18,146,40,-1,-1,6,3,1,0,0,おはようございます！<br>航空機搭載給油艦、速吸、頑張ります！<br>艦載機も出撃用意、ばっちりです！,艦隊随伴型の給油艦、速吸です。よろしくお願いします！<br>様々な物資を補給できる多用途給油艦でありながら、航空機の運用が可能な設計です。ミッドウェー海戦後の計画変更で流星の発進も可能となりました！
